iter	Passed	Remaining
0	1	164
1	3	155
2	4	144
3	5	135
4	6	129
5	8	126
6	9	122
7	10	118
8	11	121
9	13	120
10	14	117
11	15	114
12	16	113
13	17	109
14	18	105
15	19	102
16	20	98
17	21	96
18	21	93
19	22	90
20	23	87
21	24	85
22	24	83
23	25	81
24	26	78
25	27	76
26	27	75
27	28	73
28	29	71
29	29	69
30	30	68
31	31	67
32	32	65
33	33	64
34	33	62
35	34	61
36	35	60
37	35	58
38	36	57
39	37	56
40	38	54
41	39	53
42	39	52
43	40	51
44	41	50
45	41	49
46	42	48
47	43	46
48	43	45
49	44	44
50	45	43
51	46	42
52	46	41
53	47	40
54	48	39
55	49	38
56	49	37
57	50	36
58	51	35
59	52	34
60	52	33
61	53	32
62	54	31
63	55	30
64	55	30
65	56	29
66	57	28
67	57	27
68	58	26
69	59	25
70	60	24
71	60	23
72	61	22
73	62	21
74	63	21
75	63	20
76	64	19
77	65	18
78	65	17
79	66	16
80	67	15
81	68	14
82	68	14
83	69	13
84	70	12
85	70	11
86	71	10
87	72	9
88	73	9
89	73	8
90	74	7
91	75	6
92	76	5
93	76	4
94	77	4
95	78	3
96	79	2
97	79	1
98	80	0
99	81	0
