iter	RMSE
0	13.25929845
1	12.95707639
2	12.690857
3	12.4452033
4	12.19894012
5	12.009902
6	11.77170792
7	11.57932337
8	11.39974298
9	11.17167047
10	10.9803014
11	10.79830798
12	10.61151341
13	10.41916336
14	10.21901091
15	10.07686054
16	9.905362612
17	9.752396987
18	9.601917475
19	9.461827383
20	9.329151698
21	9.184776403
22	9.040529267
23	8.91163979
24	8.809311416
25	8.685573197
26	8.558538197
27	8.451796611
28	8.340921728
29	8.221238427
30	8.11069633
31	8.004914675
32	7.894589066
33	7.799800729
34	7.706301705
35	7.619206739
36	7.534321623
37	7.444288848
38	7.361967961
39	7.290688902
40	7.221404156
41	7.155090615
42	7.093275827
43	7.038351546
44	6.980919673
45	6.92296099
46	6.867414086
47	6.801751392
48	6.745554589
49	6.690305323
50	6.631874462
51	6.580335466
52	6.530717251
53	6.482777376
54	6.438289027
55	6.387494789
56	6.347594249
57	6.303278153
58	6.26776025
59	6.223304608
60	6.180490165
61	6.151369135
62	6.116165874
63	6.079647379
64	6.041783382
65	6.013526946
66	5.974307251
67	5.94020565
68	5.916503255
69	5.88948848
70	5.857684677
71	5.824654905
72	5.797375365
73	5.77409543
74	5.754022527
75	5.728667431
76	5.714842332
77	5.691558086
78	5.670681931
79	5.643323965
80	5.621032458
81	5.604718106
82	5.58418579
83	5.564783796
84	5.549878944
85	5.531205716
86	5.511799231
87	5.495317377
88	5.477336783
89	5.458974634
90	5.444602546
91	5.425700116
92	5.407404108
93	5.386700375
94	5.372170592
95	5.350354959
96	5.343215693
97	5.329066581
98	5.314457626
99	5.303806108
100	5.293093158
101	5.277630807
102	5.262436764
103	5.244001893
104	5.232512038
105	5.218872779
106	5.204460546
107	5.190829322
108	5.172117938
109	5.162028654
110	5.153533165
111	5.144873564
112	5.128523964
113	5.115966292
114	5.105764766
115	5.088652345
116	5.07372124
117	5.064151345
118	5.054989347
119	5.044673542
120	5.030947452
121	5.018651465
122	5.012023721
123	5.00077068
124	4.985652245
125	4.974895558
126	4.966672713
127	4.956904425
128	4.950866671
129	4.94074745
130	4.930656098
131	4.923432288
132	4.91356114
133	4.905594262
134	4.893975703
135	4.88266995
136	4.873440885
137	4.863773036
138	4.854620672
139	4.849120478
140	4.839688081
141	4.832404555
142	4.823599844
143	4.819047824
144	4.814623348
145	4.801552485
146	4.796196869
147	4.789862762
148	4.778794306
149	4.771571059
150	4.758985333
151	4.751419269
152	4.740785592
153	4.736377683
154	4.725975928
155	4.718822411
156	4.711015236
157	4.702888147
158	4.692256895
159	4.68568829
160	4.678815177
161	4.672651517
162	4.663981768
163	4.659436035
164	4.651234887
165	4.642251911
166	4.638234286
167	4.634000299
168	4.625975155
169	4.615369626
170	4.610436916
171	4.605341789
172	4.59891326
173	4.589896355
174	4.583661043
175	4.573861275
176	4.567427482
177	4.558424899
178	4.554877869
179	4.546627552
180	4.538857809
181	4.533250187
182	4.524895395
183	4.518826564
184	4.509717213
185	4.501544684
186	4.495484938
187	4.489050663
188	4.484773662
189	4.477816695
190	4.468362373
191	4.462547483
192	4.454754373
193	4.45016767
194	4.445096319
195	4.440163971
196	4.436477441
197	4.425938274
198	4.420919921
199	4.413797928
200	4.406572575
201	4.398171009
202	4.390824613
203	4.386462439
204	4.381913701
205	4.377562126
206	4.371785526
207	4.366765365
208	4.359363274
209	4.350868033
210	4.345782444
211	4.342360466
212	4.337722886
213	4.333023131
214	4.329722444
215	4.326850559
216	4.32005228
217	4.315909893
218	4.308687001
219	4.300927068
220	4.296712448
221	4.294185005
222	4.291751366
223	4.28451623
224	4.277209653
225	4.273481556
226	4.268960795
227	4.264114151
228	4.257179064
229	4.254054358
230	4.24826916
231	4.244389986
232	4.238480482
233	4.233415436
234	4.230120304
235	4.226580871
236	4.223321306
237	4.216765454
238	4.214013661
239	4.212636019
240	4.207433313
241	4.200805548
242	4.194403508
243	4.186654083
244	4.181347398
245	4.176093814
246	4.169301335
247	4.165296721
248	4.15680649
249	4.154771213
250	4.151132046
251	4.148982978
252	4.144786682
253	4.139224446
254	4.136530021
255	4.132650467
256	4.128740651
257	4.125712523
258	4.121011719
259	4.117337475
260	4.11355644
261	4.106556104
262	4.098488086
263	4.090956831
264	4.085945736
265	4.080268222
266	4.073367776
267	4.065403498
268	4.061690136
269	4.058419912
270	4.051645543
271	4.049672372
272	4.047753278
273	4.044679448
274	4.039106393
275	4.032184171
276	4.024868436
277	4.023054617
278	4.021036154
279	4.013305665
280	4.007919286
281	4.003665239
282	3.998044955
283	3.995031684
284	3.98879304
285	3.984792478
286	3.982776537
287	3.978179426
288	3.9722926
289	3.966979126
290	3.959596609
291	3.956481149
292	3.95094805
293	3.946636382
294	3.942182312
295	3.936903928
296	3.932477617
297	3.928825467
298	3.922425069
299	3.917126202
300	3.914955575
301	3.913830689
302	3.909445657
303	3.905797956
304	3.901251883
305	3.897974989
306	3.895383452
307	3.891953254
308	3.887790069
309	3.879197193
310	3.872645261
311	3.868694732
312	3.867410058
313	3.862565109
314	3.856818934
315	3.855113968
316	3.852706297
317	3.851672941
318	3.848571233
319	3.846913258
320	3.842961091
321	3.842151977
